Date,Amount,Contractor
979171200.00000000,9022047.0,C-Cubed 
979171200.00000000,18648976.0,Sikorsky Aircraft 
979257600.00000000,175456000.0,Bindley Western Drug 
979257600.00000000,9256000.0,Cardinal Health
979257600.00000000,8752968.0,ExxonMobil Fuels Marketing 
979257600.00000000,28856087.0,Lockheed Martin 
979257600.00000000,25000000.0,MSE Technology Applications 
979257600.00000000,14802554.0,Raytheon Systems 
979257600.00000000,9825527.0,Raytheon Systems 
979257600.00000000,7000000.0,Bering Sea Ecotech
979603200.00000000,62520444.0,Ball Aerospace & Technologies 
979603200.00000000,24300000.0,Sikorsky Aircraft 
979603200.00000000,4739293.0,Raytheon/Lockheed Martin Javelin Joint Venture
979603200.00000000,10248241.0,Bristol Environmental and Engineering Services
979603200.00000000,6040000.0,Research Triangle Institute
979603200.00000000,5790140.0,B. F. Goodrich Aerospace
979689600.00000000,7999000.0,Concord Companies 
979689600.00000000,6726839.0,United Defense
979776000.00000000,14683138.0,Bell-Boeing Joint Project Office
979776000.00000000,5660378.0,Vought Aircraft Industries
979776000.00000000,11300000.0,McDonnell Douglas 
979862400.00000000,29000000.0,DynCorp Information Systems
979862400.00000000,27500000.0,PYA/Monarch
979862400.00000000,7874272.0,Lowry Computer Products 
979862400.00000000,22475000.0,Northrop Grumman 
979862400.00000000,18584220.0,All World Language Consultants
980121600.00000000,40000000.0,Lockheed Martin 
980121600.00000000,26519779.0,EG&G
980121600.00000000,13688888.0,Sikorsky Aircraft 
980121600.00000000,10191650.0,Goodyear Tire and Rubber 
980121600.00000000,5762032.0,Great Lakes Dredge and Dock 
980208000.00000000,490934487.0,Resource Consultants
980208000.00000000,422387132.0,AMSEC 
980208000.00000000,8513403.0,Sensor Research and Development 
980208000.00000000,35713200.0,Lockheed Martin 
980208000.00000000,7734050.0,Science Applications International 
980208000.00000000,12658800.0,Armtec Defense Products 
980208000.00000000,28492656.0,Stevedoring Services of America
980208000.00000000,26937595.0,United Defense LP
980208000.00000000,9343000.0,Azteca Enterprises 
980294400.00000000,11970000.0,Bean Stuyvesant
980294400.00000000,10000.0,Aqua Terra Contracting 
980380800.00000000,4000000000.0,ECC International 
980380800.00000000,2798669.0,Teledyne Brown Engineering
980380800.00000000,26998777.0,SEI 
980380800.00000000,18034688.0,General Electric 
980380800.00000000,14741954.0,Cessna Aircraft
980380800.00000000,500000.0,URS Group 
980380800.00000000,34102996.0,McDonnell Douglas 
980467200.00000000,3829260045.0,Newport News Shipbuilding (NNS)
980467200.00000000,46713781.0,Tecnico 
980467200.00000000,20997000.0,Northrop Grumman 
980467200.00000000,8980325.0,Bender Shipbuilding and Repair 
980467200.00000000,7500000.0,Myers Container 
980467200.00000000,12075643.0,Boeing 
980467200.00000000,8627207.0,Air Force is awarding firm-fixed-price contracts to the following four companies in the noted amounts:  Raytheon Systems 
980726400.00000000,150000000.0,SOLPAC 
980726400.00000000,35304098.0,McDonnell Douglas 
980726400.00000000,8764890.0,Litton Guidance & Control Systems
980726400.00000000,44707518.0,Raytheon 
980726400.00000000,14578025.0,General Electric 
980726400.00000000,2281414.0,Oshkosh Truck 
980812800.00000000,1050000000.0,McDonnell Douglas 
980812800.00000000,45000000.0,McCarty 
980812800.00000000,11186874.0,Boeing 
980812800.00000000,9550000.0,University of Dayton Research Institute is being awarded a $9
980812800.00000000,8075000.0,University of Dayton Research Institute
980812800.00000000,6373089.0,Raytheon 
980812800.00000000,150000000.0,SOLPAC 
980812800.00000000,60200000.0,Lockheed Martin
980812800.00000000,27900000.0,Lockheed Martin 
980812800.00000000,21250000.0,B. L. Harbert International
980812800.00000000,19628502.0,Adaptive Digital Systems
980812800.00000000,10874907.0,Sparton Defense Electronics
980812800.00000000,8812024.0,Undersea Sensor Systems 
980812800.00000000,5846880.0,International Technology 
980812800.00000000,24197880.0,Dyncorp Technical Services
980812800.00000000,17268347.0,General Dynamics Government Systems 
980812800.00000000,2000000.0,Science Application International 
980812800.00000000,7500000.0,Meadow Valley Contractors 
980812800.00000000,5000000.0,Quality Distributors*
980899200.00000000,211864735.0,Sikorsky Aircraft 
980899200.00000000,12254849.0,AM General 
980899200.00000000,2376000.0,Cyterra 
980899200.00000000,41568575.0,Kerns Manufacturing
980899200.00000000,30489946.0,Twigg 
980899200.00000000,25600000.0,TRW Space and Electronics Group
980899200.00000000,24580880.0,Lockheed Martin 
980899200.00000000,12771949.0,EG&G Technical Services
980899200.00000000,9994685.0,Lockheed Martin 
980899200.00000000,8133772.0,Lockheed Martin Mission Systems
980899200.00000000,22437678.0,McDonnell Douglas 
980899200.00000000,16190000.0,Dillingham Construction Pacific
980899200.00000000,14856444.0,UBC
980899200.00000000,5251219.0,Computer & Hi-Tech Management
980899200.00000000,6195387.0,Interstate Steel Supply 
980985600.00000000,77626271.0,Alliant Techsystems 
980985600.00000000,5804490.0,John Deere Construction Equipment 
980985600.00000000,40000000.0,Lockheed Martin 
980985600.00000000,35000000.0,Boeing 
980985600.00000000,30180408.0,Raytheon 
980985600.00000000,16000000.0,Raytheon 
980985600.00000000,15501669.0,Rentfrow
980985600.00000000,12235952.0,BAE Systems Integrated Defense Solutions
980985600.00000000,9073316.0,Forrester Construction 
980985600.00000000,6570253.0,RIX Industries
980985600.00000000,5969200.0,International Technology 
980985600.00000000,5692692.0,International Technology 
981072000.00000000,58087460.0,Lockheed Martin 
981072000.00000000,32231689.0,Boeing 
981072000.00000000,9621700.0,Mine Safety Appliances
981072000.00000000,15263639.0,Lockheed Martin Undersea Systems
981072000.00000000,7477498.0,SIGCOM
981072000.00000000,5377497.0,Lockheed Martin Integrated Systems
981072000.00000000,11544632.0,Burlington Performance Wear/Div of Burlington Industries
981331200.00000000,54891987.0,Hydraulics International
981331200.00000000,6267450.0,Longbow 
981331200.00000000,244100.0,General Electric 
981331200.00000000,151928.0,Honeywell International 
981331200.00000000,13091094.0,Electric Boat 
981331200.00000000,10000.0,Shavers-Whittle Construction 
981417600.00000000,9100000.0,Lockheed Martin Naval Electronics and Surveillance Systems
981417600.00000000,4989000.0,Recon/Optical
981504000.00000000,36399623.0,McDonnell Douglas 
981504000.00000000,7907075.0,Lockheed Martin 
981504000.00000000,7800000.0,McDonnell Douglas 
981504000.00000000,3425000.0,Honeywell International 
981504000.00000000,6033335.0,Moog 
981504000.00000000,3400000.0,Integral Systems
981590400.00000000,324491224.0,McDonnell Douglas 
981590400.00000000,15462960.0,United Defense Limited Partnership
981590400.00000000,1200002.0,SARCOS Research 
981590400.00000000,5800000.0,General Dynamics Land Systems
981676800.00000000,800000000.0,Boeing 
981676800.00000000,8947826.0,BAE Systems
981676800.00000000,142049575.0,General Dynamics Land Systems 
981676800.00000000,39468160.0,General Electric 
981676800.00000000,16936000.0,Lockheed Martin Tactical Defense Systems
981936000.00000000,29970403.0,General Dynamics Armament Systems
981936000.00000000,7751931.0,Undersea Sensor Systems 
981936000.00000000,20623221.0,Lockheed Martin 
981936000.00000000,18708977.0,United Technologies 
981936000.00000000,6331300.0,Mine Safety Appliances 
982022400.00000000,84000000.0,Today
982022400.00000000,72162074.0,PRIMEX Technologies
982022400.00000000,68062401.0,Oshkosh Truck 
982022400.00000000,16030000.0,General Dynamics Land Systems 
982022400.00000000,12965100.0,AIR BP
982022400.00000000,7370746.0,GNB Industrial Power
982022400.00000000,5295272.0,Applied Ordnance Technology
982022400.00000000,5199255.0,McDonnell Douglas 
982108800.00000000,105511641.0,Ingalls Shipbuilding
982108800.00000000,16652011.0,Boeing 
982108800.00000000,9997727.0,AMSEC 
982108800.00000000,6386658.0,Sikorsky Support Services
982108800.00000000,5500000.0,Phoenix International
982108800.00000000,25500000.0,Boeing 
982108800.00000000,5839251.0,John Deere Construction Equipment 
982195200.00000000,2196000000.0,Artel 
982195200.00000000,15888024.0,McDonnell Douglas 
982195200.00000000,30000000.0,Sun Bay Contracting
982195200.00000000,5094981.0,TALLA-COM
982195200.00000000,5000000.0,Integrated Concepts & Research 
982195200.00000000,8444092.0,Orincon 
982195200.00000000,8057604.0,Lockheed Martin Space and Missile Systems
982281600.00000000,47354792.0,Digital System Resources
982281600.00000000,9325572.0,R. A. Burch Construction 
982281600.00000000,5402873.0,Resource Consultants
982281600.00000000,10943400.0,ArmorWorks
982281600.00000000,10248269.0,England Jet Center
982281600.00000000,7780938.0,Crowley Marine Services
982281600.00000000,5416454.0,Avion Flight Centre
982281600.00000000,6180000.0,BAE Systems
982627200.00000000,50863391.0,Spectrum Astro 
982627200.00000000,15860025.0,Raytheon Aircraft 
982627200.00000000,11102776.0,Lockheed Martin Aeronautics 
982627200.00000000,5216499.0,Research Associates of Syracuse 
982627200.00000000,14483929.0,CH2M Hill Constructors
982627200.00000000,8775716.0,Boeing 
982713600.00000000,27509789.0,Science Applications International 
982713600.00000000,24024300.0,VisiCom Services
982713600.00000000,5945117.0,Sparton Defense Electronics
982713600.00000000,11000000.0,Y. Hata & 
982713600.00000000,9259754.0,United Defense LP
982800000.00000000,42160090.0,Lockheed Martin
982800000.00000000,20909977.0,Raytheon 
982800000.00000000,14579077.0,General Electric Aircraft Engines
982800000.00000000,12187538.0,Raytheon 
982800000.00000000,8754288.0,Head
982800000.00000000,17591860.0,General Electric 
982800000.00000000,16119687.0,Allison Transmission Division
982800000.00000000,6052369.0,Tallahassee Technologies 
982800000.00000000,6165826.0,Great Lakes Dredge and Dock 
982800000.00000000,13890520.0,Lear Siegler
982800000.00000000,6107916.0,General Atomics Aeronautical Systems
982886400.00000000,116000000.0,Reliance Coated Fabrics 
982886400.00000000,7229985.0,Grundy Marine Construction 
982886400.00000000,37000000.0,Fisher Scientific 
982886400.00000000,6562500.0,Government Scientific Source*
982886400.00000000,5600000.0,Thomas Scientific*
982886400.00000000,5600000.0,A. Daigger & 
982886400.00000000,8000000.0,Inland Dredging 
982886400.00000000,10000000.0,Lockheed Martin 
982886400.00000000,6731000.0,Speegle Construction
982886400.00000000,6186390.0,Norfolk Shipbuilding & Drydock 
983145600.00000000,4000000000.0,Fourteen companies are being awarded contracts or modifications for Lot IV
983145600.00000000,150000000.0,Redondo Electric*
983145600.00000000,6485812.0,Lockheed Martin Naval Electronics and Surveillance Systems
983145600.00000000,5159430.0,Titan Linkabit Wireless
983145600.00000000,15000000.0,General Electric 
983232000.00000000,120000.0,Intersteel 
983232000.00000000,6496372.0,American Ordnance 
983232000.00000000,9999999.0,Boeing Satellite Systems
983232000.00000000,8999990.0,Lockheed Martin Tactical Defense Systems
983318400.00000000,75000000.0,Lockheed Martin Commercial Launch Services
983318400.00000000,17035505.0,Mantech Geo-Centers Joint Venture
983318400.00000000,11502830.0,Systems and Electronics
983318400.00000000,6947850.0,TRW ICBM Systems
983318400.00000000,59709750.0,Bell-Boeing Joint Program Office
983318400.00000000,47216192.0,Bell-Boeing Joint Program Office
983318400.00000000,25979813.0,Fermin O. Gonzalez
983318400.00000000,24550610.0,Lend Lease Actus
983318400.00000000,12914000.0,C. Construction 
983318400.00000000,10761185.0,AIL Systems 
983318400.00000000,8283341.0,General Dynamics Electronic Systems
983318400.00000000,6167371.0,Multiple awards are being made to four contractors in support of the U.S Joint Forces Command Joint Experimentation Program.  General Dynamics Electronic Systems
983318400.00000000,9392000.0,Rockwell Collins 
983318400.00000000,20415190.0,Kalmar RT Center
983318400.00000000,13355848.0,Raymond Express International*
983318400.00000000,13000000.0,Insight Technology 
983318400.00000000,12958732.0,General Dynamics Government Systems 
983318400.00000000,5364062.0,Raymond Express International*
983318400.00000000,807984.0,US Hardware Supply 
983404800.00000000,9209739.0,Robertson Aviation*
983404800.00000000,5034000.0,Alliant Techsystems 
983404800.00000000,33940158.0,Arinc 
983491200.00000000,44962144.0,TRW Systems and Information Group
983491200.00000000,8855229.0,Lockheed Martin Integrated Systems
983491200.00000000,7600000.0,General Electric Aircraft Engines
983491200.00000000,6884800.0,Woodward FST
983491200.00000000,10800000.0,ITT Industries
983491200.00000000,7992831.0,Chandler Evans Control Systems
983491200.00000000,.0,Electric Boat 
983750400.00000000,40000000.0,Lockheed Martin 
983750400.00000000,10848952.0,Booz-Allen and Hamilton
983750400.00000000,10500000.0,Applied Technology Associates
983750400.00000000,31548629.0,General Dynamics Land Systems 
983750400.00000000,5270720.0,Lobar Construction Services 
983750400.00000000,31060074.0,United Defense
983750400.00000000,12837648.0,National Technologies Associates 
983750400.00000000,7026026.0,Southwest Marine
983836800.00000000,350000.0,MC Partners 
983836800.00000000,41000000.0,B. L. Harbert International 
983836800.00000000,64201467.0,Raytheon Systems 
983836800.00000000,5406710.0,Raytheon 
983836800.00000000,5980000.0,General Electric Aircraft Engines
983923200.00000000,31250000.0,Sevenson Environmental*
983923200.00000000,21653423.0,KOR Electronics
984009600.00000000,10694410.0,PB/NAMMO Demil 
984009600.00000000,9826403.0,General Dynamics Ordnance Systems
984096000.00000000,62273824.0,Raytheon 
984096000.00000000,11154776.0,DynCorp Technical Services
984096000.00000000,9969000.0,McGoldrick Construction Services 
984096000.00000000,6056166.0,General Dynamics Land Systems 
984096000.00000000,14931857.0,EnerSys 
984096000.00000000,6639773.0,Aloha Petroleum Ltd.*
984096000.00000000,11066212.0,   Coastal Refining and Marketing
984355200.00000000,109102930.0,Valero Marketing and Supply 
984355200.00000000,50677500.0,La Gloria Oil and Gas 
984355200.00000000,32652961.0,Pride Companies
984355200.00000000,22216783.0,Southwest Airport Services
984355200.00000000,13700000.0,Labarr Food Service*
984355200.00000000,6466722.0,Truman Arnold Companies*
984355200.00000000,5854500.0,Jankovich 
984355200.00000000,5187843.0,Rainier Petroleum 
984355200.00000000,1100000.0,DonJon Marine 
984355200.00000000,5305233.0,Banderas Construction*
984355200.00000000,24967000.0,Raytheon 
984355200.00000000,7810673.0,Tadiran Spectralink
984355200.00000000,6883754.0,LaQue Center for Corrosion Technology
984355200.00000000,6807397.0,Power Manufacturing 
984355200.00000000,9194413.0,Boeing 
984355200.00000000,9000000.0,Litton Laser Systems
984441600.00000000,45850405.0,Alon USA
984441600.00000000,31643672.0,Diamond Shamrock Refining 
984441600.00000000,5524400.0,United Refining 
984441600.00000000,382946757.0,Equilon Enterprises
984441600.00000000,38570372.0,General Dynamics Land Systems 
984441600.00000000,6977400.0,Sikorsky Aircraft 
984441600.00000000,6000000.0,Hurley & Associates*
984441600.00000000,6000000.0,Bradford Roof Management*
984441600.00000000,16454615.0,CASS Services
984441600.00000000,9925763.0,Teledyne Electronic Technologies
984441600.00000000,9056966.0,McDonnell Douglas 
984441600.00000000,7875000.0,Lockheed Martin
984441600.00000000,7203257.0,Teledyne Electronic Technologies
984528000.00000000,13217750.0,Sodexho Marriott Management
984528000.00000000,6544088.0,Lockheed Martin 
984528000.00000000,31562162.0,Age Refining
984528000.00000000,27577684.0,Placid Refining 
984528000.00000000,7241250.0,Gary-Williams Energy 
984614400.00000000,270200000.0,McDonnell Douglas 
984614400.00000000,45000000.0,Northrop Grumman 
984614400.00000000,16608062.0,Lockheed Martin Aeronautics 
984614400.00000000,6098578.0,United Technologies 
984614400.00000000,69481506.0,McDonnell Douglas 
984614400.00000000,45327739.0,Lockheed Martin 
984614400.00000000,8383905.0,Raytheon Electronic Systems
984614400.00000000,6728878.0,Harper/Nielsen Dillingham Builders
984700800.00000000,224565030.0,ExxonMobil Fuels Marketing 
984700800.00000000,143348883.0,ExxonMobil Fuels Marketing 
984700800.00000000,20000000.0,U.S. Foodservice
984700800.00000000,86000000.0,Lockheed Martin 
984700800.00000000,38219323.0,Northrop Grumman 
984700800.00000000,18500000.0,Ball Aerospace and Technologies 
984700800.00000000,8475368.0,Lockheed Martin 
984700800.00000000,11491748.0,Rockwell Collins Government Systems
984700800.00000000,5351255.0,Centennial Contractors Enterprises
984700800.00000000,10531000.0,Lockheed Martin Missiles and Fire Control - Dallas
984700800.00000000,6423000.0,Bean Stuyvesant 
984960000.00000000,168931956.0,Northrop Grumman 
984960000.00000000,142587393.0,Lockheed Martin 
984960000.00000000,102204000.0,Arch Chemicals
984960000.00000000,14216000.0,Bell Helicopter Textron 
984960000.00000000,5500000.0,Kiewit Pacific 
984960000.00000000,6100000.0,Barclay White/Coakley Williams Construction (a joint venture)
984960000.00000000,5225560.0,Lockheed Martin Systems Integration
985046400.00000000,126137228.0,FLIR Systems
985046400.00000000,6560812.0,PeopleSoft USA
985046400.00000000,5765862.0,United Defense
985046400.00000000,49900000.0,Jackson and Tull
985046400.00000000,30100096.0,General Atomics Aeronautical Systems
985046400.00000000,28860000.0,Universal Technology 
985046400.00000000,38348066.0,Placid Refining 
985132800.00000000,10000000.0,Northrop Grumman
985132800.00000000,919204.0,Agilent Technologies 
985132800.00000000,9128824.0,Record Steel Construction 
985132800.00000000,7010871.0,Litton PRC 
985219200.00000000,59003220.0,BAE Systems
985219200.00000000,7173555.0,Raytheon Systems 
985219200.00000000,5435226.0,BAE Systems Technologies
985219200.00000000,1796357.0,Raytheon 
985219200.00000000,20108169.0,General Electric Aircraft Engine
985219200.00000000,8127120.0,W. G. Yates & Sons Construction 
985219200.00000000,14788636.0,PEI Electronics 
985305600.00000000,122918200.0,Textron Systems 
985305600.00000000,47571967.0,Boeing 
985305600.00000000,23448687.0,General Dynamics Government Systems 
985305600.00000000,8062000.0,Medlin Construction Group LTD.*
985305600.00000000,5000000.0,Kokosing Construction 
985305600.00000000,14611000.0,Pelican Lumber & Export 
985305600.00000000,5585000.0,Buie Forest Products
985305600.00000000,13408000.0,San Juan Construction
985305600.00000000,13190888.0,Electric Boat 
985305600.00000000,12412146.0,Lockheed Martin Space Systems 
985305600.00000000,12284000.0,Healy Tibbitts Builders
985305600.00000000,10807934.0,Raytheon 
985564800.00000000,119232022.0,Raytheon 
985564800.00000000,31287265.0,Harper/Neilsen Dillingham Builders
985564800.00000000,32522480.0,General Electric Engine Services
985564800.00000000,50000.0,MILTEC 
985564800.00000000,75000000.0,Environmental Chemical 
985651200.00000000,82955239.0,Lockheed Martin Integrated Systems
985651200.00000000,11282576.0,Harris 
985651200.00000000,30057866.0,Ebrex Food Services
985651200.00000000,5074417.0,Sunshine Aero Industries
985651200.00000000,7413380.0,Raytheon 
985737600.00000000,122500000.0,Bergen Brunswig Drug 
985737600.00000000,6344000.0,Cardinal Health
985737600.00000000,6222000.0,Kansas City Power & Light
985737600.00000000,102204000.0,Arch Chemicals
985737600.00000000,17051810.0,SenCom 
985737600.00000000,12834000.0,ITT Industries
985737600.00000000,106068000.0,General Dynamics Government Systems 
985737600.00000000,29819025.0,Roads 
985737600.00000000,22543679.0,Bell Helicopter Textron
985737600.00000000,8022674.0,TJC Engineering 
985737600.00000000,5925627.0,Raytheon 
985737600.00000000,50146557.0,Northrop Grumman 
985737600.00000000,15934981.0,Atlantic Research 
985737600.00000000,15900000.0,Lockheed Martin Naval Electronics and Surveillance Systems
985737600.00000000,13368113.0,Litton Marine Systems
985737600.00000000,11302389.0,Litton Avondale Industries
985737600.00000000,8902952.0,DCS 
985737600.00000000,1847320.0,North Carolina State University
985824000.00000000,120746528.0,Oshkosh Truck 
985824000.00000000,9450000.0,Raytheon 
985824000.00000000,23929151.0,Alliant Techsystems
985824000.00000000,17105000.0,R&R Joint Venture
985824000.00000000,15835540.0,Primex Technologies
985824000.00000000,13500000.0,Rohm and Haas 
985824000.00000000,11967610.0,Raytheon 
985824000.00000000,9533837.0,Primex Technologies
985824000.00000000,7446528.0,Alliant Techsystems
985824000.00000000,7000000.0,McDonnell Douglas Helicopter 
985824000.00000000,5075121.0,Honeywell 
985824000.00000000,25082633.0,Computer Sciences 
985824000.00000000,11870663.0,Team Logistics Joint Venture (T-Log)
985824000.00000000,9655000.0,Barclay White/Coakley Williams Construction (a joint venture)
985824000.00000000,9079602.0,Reliable Mechanical
985824000.00000000,7309446.0,Raytheon 
985824000.00000000,10000.0,McElwee Brothers 
985910400.00000000,336000000.0,McDonnell Douglas 
985910400.00000000,235576770.0,McDonnell Douglas 
985910400.00000000,110170885.0,Lockheed Martin Missiles and Space 
985910400.00000000,38771858.0,Boeing Defense and Space Group
985910400.00000000,35681448.0,Boeing 
985910400.00000000,10049567.0,Luminescent Systems 
985910400.00000000,8083328.0,Lockheed Martin 
985910400.00000000,7024572.0,Texas Commissions for the Blind
985910400.00000000,6448472.0,Environmental Management
985910400.00000000,6424735.0,Northrop Grumman 
985910400.00000000,6000000.0,Boeing 
985910400.00000000,5537081.0,Lockheed Martin 
985910400.00000000,5300059.0,Thikol Propulsion
985910400.00000000,240076700.0,General Dynamics Land Systems 
985910400.00000000,32993606.0,Eagle Global Logistics
985910400.00000000,780000.0,Cubic Applications 
985910400.00000000,20822000.0,Kokosing Construction 
985910400.00000000,20626874.0,Eastek Services 
985910400.00000000,8696851.0,Primex Technologies
985910400.00000000,7809996.0,Alliant Ammunition Systems 
985910400.00000000,7337737.0,Danner Construction 
985910400.00000000,5552916.0,Bulova Technologies 
985910400.00000000,10614025.0,Raytheon 
985910400.00000000,8200000.0,Raytheon Electronic Systems 
985910400.00000000,8192436.0,DRS Precision Echo
985910400.00000000,7642430.0,Booz Allen & Hamilton
985910400.00000000,5887000.0,Straub Construction
985910400.00000000,7629004.0,Mercury Air Center
985910400.00000000,5530363.0,Truman Arnold Companies*
985910400.00000000,5331703.0,Superior Aviation Fuel Enterprises
986169600.00000000,14500000000.0,ADI Technology 
986169600.00000000,28975680.0,DD 21 Alliance
986169600.00000000,14269998.0,McDonnell Douglas 
986169600.00000000,6031053.0,Dell Marketing L.P.
986169600.00000000,225500000.0,Lockheed Martin 
986169600.00000000,152663000.0,Lockheed Martin 
986169600.00000000,148343332.0,Raytheon Aircraft 
986169600.00000000,47150000.0,McDonnell Douglas Training Systems
986169600.00000000,40500000.0,Lockheed Martin 
986169600.00000000,33234868.0,Accenture Limited Liability Partnership
986169600.00000000,13700000.0,United Technologies 
986169600.00000000,7000000.0,S & K Technologies
986169600.00000000,6638960.0,Sargent Fletcher
986169600.00000000,6749610.0,Racal Communications
986169600.00000000,21925966.0,Alcan General 
986169600.00000000,3226000.0,Raytheon 
986169600.00000000,240078700.0,General Dynamics Land Systems 
986256000.00000000,260000000.0,Ball Aerospace and Technologies 
986256000.00000000,9920000.0,University of Dayton Research Institute
986256000.00000000,37440887.0,Rockwell Collins Government Systems
986256000.00000000,9900000.0,BAE Systems Information and Electronic Information 
986256000.00000000,2950000.0,Carmen Paliotta Contracting 
986342400.00000000,1786827604.0,National City Bank of Indiana
986342400.00000000,14852142.0,Sikorsky Aircraft 
986342400.00000000,9414000.0,Lockheed Martin Space Systems 
986342400.00000000,7506633.0,Olin 
986342400.00000000,10000.0,Great Lakes Dredge & Dock 
986428800.00000000,381350277.0,McDonnell Douglas Corp
986428800.00000000,23594712.0,Northrop Grumman 
986428800.00000000,6015465.0,General Dynamics Land Systems
986428800.00000000,5560000.0,McDonnell Douglas 
986428800.00000000,54577779.0,Raytheon 
986428800.00000000,16613000.0,Monarch Construction 
986428800.00000000,7508869.0,Microvision 
986428800.00000000,5182179.0,MTS Systems 
986428800.00000000,8277400.0,General Dynamics Land Systems
986515200.00000000,601000000.0,General Electric 
986515200.00000000,9788687.0,Lockheed Martin 
986515200.00000000,9261119.0,Rockwell Collins 
986515200.00000000,7326085.0,Lockheed Martin Space Systems 
986515200.00000000,6248110.0,Northrop Grumman 
986515200.00000000,30000000.0,Boeing 
986515200.00000000,30000000.0,Lockheed Martin Aeronautics 
986515200.00000000,9469000.0,Raytheon 
986515200.00000000,6312000.0,McDonnell Douglas 
986515200.00000000,6015465.0,contract awarded on April 5
986515200.00000000,26443206.0,Theodor Wille Intertrade GmbH
986515200.00000000,20000000.0,Honeywell International
986515200.00000000,14368522.0,NUNA Contractors 
986515200.00000000,7148504.0,Uniax 
986774400.00000000,28116492.0,American Ordnance 
986774400.00000000,16000000.0,Tetra Tech 
986774400.00000000,7377323.0,McKnight Construction 
986774400.00000000,1000000.0,National Engineering & Contracting 
986774400.00000000,24327281.0,Lockheed Martin Naval Electronics and Sensor Systems
986860800.00000000,125796975.0,Washington Gas Energy Services
986860800.00000000,7468396.0,Hydraulics International
986860800.00000000,6147014.0,Trawick Contractors
986860800.00000000,5610036.0,Ingalls Shipbuilding
986947200.00000000,24843714.0,Triton Systems
986947200.00000000,19000000.0,Litton Systems 
986947200.00000000,12811465.0,Howmet 
986947200.00000000,11846028.0,Lockheed Martin 
986947200.00000000,11709877.0,ITT-Gilfillan Defense and Electronics
987033600.00000000,12350310.0,Raytheon 
987033600.00000000,7136000.0,Kollmorgen 
987033600.00000000,6347620.0,Northrop Grumman 
987033600.00000000,6102536.0,SFA
987033600.00000000,7265214.0,Raytheon Systems 
987033600.00000000,6303430.0,DRS Infrared Technologies LP
987033600.00000000,2659390.0,Sofradir
987120000.00000000,197580139.0,Oshkosh Truck 
987120000.00000000,10000000.0,J&J Maintenance 
987120000.00000000,27509900.0,Caddell Construction 
987120000.00000000,72000000.0,Pratt and Whitney
987120000.00000000,8800957.0,General Dynamics Electronic Systems
987120000.00000000,6616995.0,BAE Sytems Applied Technologies
987120000.00000000,6397281.0,Eagan
987120000.00000000,7100000.0,BBNT Solutions
987379200.00000000,18250000.0,PYA Monarch Atlanta
987379200.00000000,12280000.0,Sysco Food Services of Seattle
987379200.00000000,8300000.0,PYA Monarch Mongomery
987379200.00000000,16233142.0,Dyncorp Technical Services
987379200.00000000,15585813.0,Kalmar Rough Terrain Center 
987379200.00000000,8757953.0,General Dynamics Government Systems 
987379200.00000000,5810974.0,Lockheed Martin Astronautics Group
987465600.00000000,9711580.0,Watson Pharma
